id,nombre,cre_id,latitud,longitud
,"ESTACION HIPODROMO, S.A. DE C.V.",PL/658/EXP/ES/2015,32.47641,-116.9214
,"LAS MEJORES ESTACIONES, S.A DE C.V",PL/902/EXP/ES/2015,20.3037,-99.74484
,DIAZ GAS S.A. DE C.V.,PL/760/EXP/ES/2015,31.71947,-106.4514
,COMBU-EXPRESS S.A. DE C.V.,PL/825/EXP/ES/2015,20.71413,-103.3042
,PETROMAX S.A. DE C.V.,PL/585/EXP/ES/2015,26.03787,-98.29977
,ESTACIÓN RAEL S. DE R. L. DE C. V.,PL/842/EXP/ES/2015,32.51342,-117.0715
,MULTISERVICIOS LA PILARICA S.A. DE C.V.,PL/371/EXP/ES/2015,25.7558,-108.9685
,PETROMAX S.A. DE C.V.,PL/439/EXP/ES/2015,25.77202,-100.2918
,"ESTACION RAEL, S. DE R.L. DE C.V.",PL/860/EXP/ES/2015,31.86546,-116.6079
,"ESTACION PIRU, S.A. DE C.V.",PL/897/EXP/ES/2015,32.31202,-117.0457
,PETROMAX S.A. DE C.V.,PL/561/EXP/ES/2015,25.65562,-100.184
,AUTOSERVICIO BERLANGA S.A. DE C.V.,PL/797/EXP/ES/2015,26.92554,-101.4189
,PETROMAX S.A. DE C.V.,PL/583/EXP/ES/2015,25.83842,-97.44485
,GRUPO OCTANO S.A. DE C.V.,PL/366/EXP/ES/2015,21.4739,-105.1947
,CIRCULO DOS S.A. DE C.V.,PL/635/EXP/ES/2015,32.5279,-117.0271
,SERVICIO SEVILLA S.A. DE C.V.,PL/868/EXP/ES/2015,19.58616,-99.1973
,PETROMAX S.A. DE C.V.,PL/558/EXP/ES/2015,25.6788,-100.2365
,GASOLINERA HUITEPEC S.A. DE C.V.,PL/887/EXP/ES/2015,16.73187,-92.65437
,PETROMAX S.A. DE C.V.,PL/454/EXP/ES/2015,26.0139,-98.20425
,"ENERGIA Y SERVICIOS COORDINADOS, S.A. DE C.V.",PL/890/EXP/ES/2015,24.02956,-104.6217
,"AUTOSERVICIOS ENERGETICOS DE ARTEAGA, S.A. DE C.V.",PL/756/EXP/ES/2015,25.57358,-100.9057
,COMBUSTIBLES Y LUBRICANTES ATENAS S.A. DE C.V.,PL/795/EXP/ES/2015,28.73367,-106.1008
,GRUPO OCTANO S.A. DE C.V.,PL/505/EXP/ES/2015,19.77838,-103.9754
,BECKTROP OPERADORA S.A. DE C.V.,PL/708/EXP/ES/2015,32.45102,-117.0249
,YLIGARZA S.A. DE C.V.,PL/562/EXP/ES/2015,25.73174,-100.2726
,"ESTACION LA VICTORIA, S.A. DE C.V.",PL/636/EXP/ES/2015,32.53171,-117.0466
,PETROMAX S.A. DE C.V.,PL/516/EXP/ES/2015,25.68592,-100.4652
,"ESTACION LA VICTORIA, S.A. DE C.V.",PL/638/EXP/ES/2015,32.51045,-117.0226
,PETROMAX S.A. DE C.V.,PL/538/EXP/ES/2015,25.66026,-100.1466
,PETROMAX S.A. DE C.V.,PL/619/EXP/ES/2015,25.44151,-100.9274
,PETROMAX S.A. DE C.V.,PL/443/EXP/ES/2015,26.06297,-98.32712
,RAMCAL S.A. DE C.V.,PL/689/EXP/ES/2015,19.03549,-104.2109
,GASOMAC S.A. DE C.V.,PL/650/EXP/ES/2015,19.3231,-99.13844
,AUTOCONSUMO LOS PINOS S.A. DE C.V.,PL/866/EXP/ES/2015,19.30205,-99.16505
,SERVICIOS DEL VALLE DEL FUERTE S.A. DE C.V.,PL/380/EXP/ES/2015,25.77298,-109.0001
,"PETROMAX, S.A. DE C.V.",PL/764/EXP/ES/2015,25.2563,-101.1169
,SERVICIO GALLEGOS E HIJOS S.A. DE C.V.,PL/851/EXP/ES/2015,22.12339,-102.2834
,OLEUM GAS S.A. DE C.V.,PL/754/EXP/ES/2015,16.73384,-93.09296
,SERVICIOS DEL VALLE DEL FUERTE S.A. DE C.V.,PL/397/EXP/ES/2015,25.96616,-109.2961
,GASOLINERÍA CID S.A. DE C.V.,PL/823/EXP/ES/2015,19.64046,-99.36308
,GASOLINERÍA PERSEO S.A. DE C.V.,PL/627/EXP/ES/2015,19.74912,-99.11606
,MULTISERVICIOS LA PILARICA S.A. DE C.V.,PL/408/EXP/ES/2015,25.9744,-109.2856
,PETROMAX S.A. DE C.V.,PL/580/EXP/ES/2015,26.06025,-98.35571
,PETROMAX S.A. DE C.V.,PL/489/EXP/ES/2015,25.7805,-100.1759
,PETROMAX S.A. DE C.V.,PL/465/EXP/ES/2015,20.73139,-103.4519
,SERVICIO AVENIDA S.A. DE C.V.,PL/724/EXP/ES/2015,21.89668,-102.3053
,"ESTACION DE SERVICIO LEON, S.DER.L. DE C.V.",PL/829/EXP/ES/2015,21.09879,-101.6677
,PETROMAX S.A. DE C.V.,PL/584/EXP/ES/2015,32.63511,-115.3865
,ESTACIÓN DE SERVICIO PITS S. DE R. L. DE C. V.,PL/710/EXP/ES/2015,32.49946,-116.7158
,GRUPO GOCALVI S.A. DE C.V.,PL/858/EXP/ES/2015,31.5649,-106.3973
,SOCOMBUMEX S.A. DE C.V.,PL/690/EXP/ES/2015,19.07791,-104.288
,GASOLINERIA SEGOVIA S.A. DE C.V.,PL/699/EXP/ES/2015,19.60755,-98.99508
,SERVICIO LOS OLIVOS S.A. DE C.V.,PL/786/EXP/ES/2015,31.7838,-116.5917
,MULTISERVICIOS LA PILARICA S.A. DE C.V.,PL/402/EXP/ES/2015,25.80147,-108.9855
,GRUPO OCTANO S.A. DE C.V.,PL/405/EXP/ES/2015,19.79169,-100.9704
,PETROMAX S.A. DE C.V.,PL/590/EXP/ES/2015,25.82625,-100.2963
,GRUPO OCTANO S.A. DE C.V.,PL/417/EXP/ES/2015,21.52222,-104.8868
,INMOBILIARIA CORREDOR TULTITLÁN S.A. DE C.V.,PL/820/EXP/ES/2015,19.67871,-99.10838
,PETROMAX S.A. DE C.V.,PL/601/EXP/ES/2015,32.60843,-115.4722
,PETROMAX S.A. DE C.V.,PL/553/EXP/ES/2015,19.63609,-99.10677
,GRUPO OCTANO S.A. DE C.V.,PL/373/EXP/ES/2015,21.47011,-104.8489
,PETROMAX S.A. DE C.V.,PL/451/EXP/ES/2015,25.73641,-100.2083
,CRUCERO LAS GOLONDRINAS S.A. DE C.V.,PL/892/EXP/ES/2015,19.14014,-103.7721
,BECKTROP OPERADORA S.A. DE C.V.,PL/707/EXP/ES/2015,32.49127,-116.953
,PETROMAX S.A. DE C.V.,PL/594/EXP/ES/2015,25.70155,-100.1302
,ESTACIÓN RAEL S. DE R. L. DE C. V.,PL/660/EXP/ES/2015,32.51104,-116.9663
,GRUPO OCTANO S.A. DE C.V.,PL/365/EXP/ES/2015,21.5423,-105.2823
,ESTACIÓN DE SERVICIO AUTOMOTRIZ DEL NORTE S.A. DE C.V.,PL/845/EXP/ES/2015,21.91625,-102.2924
,SERVICIO CÍBOLA S.A. DE C.V.,PL/685/EXP/ES/2015,29.30929,-100.9351
,PETROMAX S.A. DE C.V.,PL/577/EXP/ES/2015,25.53419,-103.3228
,MULTISERVICIOS SIGAS S.A. DE C.V.,PL/655/EXP/ES/2015,22.14957,-102.4106
,SERVICIOS DEL VALLE DEL FUERTE S.A. DE C.V.,PL/374/EXP/ES/2015,25.73669,-109.0138
,PETROMAX S.A. DE C.V.,PL/592/EXP/ES/2015,26.04917,-98.38633
,SERVICIO VEGA ATIZAPÁN S.A. DE C.V.,PL/879/EXP/ES/2015,19.55827,-99.25086
,ESTACIÓN RAEL S. DE R. L. DE C. V.,PL/686/EXP/ES/2015,32.50455,-116.977
,PETROMAX S.A. DE C.V.,PL/571/EXP/ES/2015,25.72328,-100.1915
,ESTACIÓN RAMOS S.A. DE C.V.,PL/812/EXP/ES/2015,25.52635,-100.941
,PETROMAX S.A. DE C.V.,PL/477/EXP/ES/2015,25.85833,-97.53786
,"ESTACION DE SERVICIO LEON, S.DER.L. DE C.V.",PL/841/EXP/ES/2015,21.12003,-101.6691
,GRUPO OCTANO S.A. DE C.V.,PL/497/EXP/ES/2015,19.90187,-100.7924
,PETROMAX S.A. DE C.V.,PL/517/EXP/ES/2015,25.64484,-100.1696
,PETROLÍFEROS LA TERRITORIAL S. DE R. L. DE C. V.,PL/833/EXP/ES/2015,31.27435,-110.93
,PETROMAX S.A. DE C.V.,PL/427/EXP/ES/2015,25.67366,-100.3682
,PETROMAX S.A. DE C.V.,PL/492/EXP/ES/2015,25.71746,-100.1685
,SERVICIO DEL CENTRO HIDALGO S.A. DE C.V.,PL/774/EXP/ES/2015,20.94723,-101.4349
,SERVICIO EL TRIÁNGULO DEL REFUGIO S. DE R. L. DE C. V.,PL/639/EXP/ES/2015,32.53289,-117.0602
,AMC COMBUSTIBLES Y LUBRICANTES S.A. DE C.V.,PL/779/EXP/ES/2015,26.91485,-101.4206
,SERVICIO RAMA S.A. DE C.V.,PL/796/EXP/ES/2015,28.70405,-100.5448
,PETROMAX S.A. DE C.V.,PL/448/EXP/ES/2015,25.81873,-100.2944
,ADMINISTRADORA DEL COLORADO S. DE R.L. DE C.V.,PL/792/EXP/ES/2015,32.49886,-116.917
,"ESTACION RAEL, S. DE R.L. DE C.V.",PL/849/EXP/ES/2015,32.63718,-115.3992
,PETROMAX S.A. DE C.V.,PL/490/EXP/ES/2015,28.65146,-106.0694
,INMOBILIARIA ANADECA S.A. DE C.V.,PL/680/EXP/ES/2015,32.51353,-117.1202
,SERVICIOS DEL VALLE DEL FUERTE S.A. DE C.V.,PL/413/EXP/ES/2015,25.81053,-109.0028
,MARA ESTACIÓN DE SERVICIOS S.A. DE C.V.,PL/766/EXP/ES/2015,21.89202,-102.2631
,GRUPO OCTANO S.A. DE C.V.,PL/617/EXP/ES/2015,21.49442,-104.8968
,SERVICIO OROZCO S.A. DE C.V.,PL/713/EXP/ES/2015,23.82137,-99.12276
,SERVICIO PUERTA DE HIERRO S.A. DE C.V.,PL/770/EXP/ES/2015,19.25796,-103.7087
,GASOLINERÍA REAL MADEIRA S.A. DE C.V.,PL/835/EXP/ES/2015,19.57863,-99.02091
,PETROMAX S.A. DE C.V.,PL/476/EXP/ES/2015,25.43487,-100.9133
,PETROMAX S.A. DE C.V.,PL/483/EXP/ES/2015,26.06835,-98.31638
,INMOBILIARIA SOCOR S.A. DE C.V.,PL/630/EXP/ES/2015,19.71715,-99.13939
,GRUPO EMPRESARIAL CACHANILLA S.A. DE C.V.,PL/394/EXP/ES/2015,32.59509,-115.5029
,GASOLINERÍA ITÁLICA S.A. DE C.V.,PL/632/EXP/ES/2015,19.53231,-99.2491
,SÚPER SERVICIO CUMBRE S.A. DE C.V.,PL/853/EXP/ES/2015,18.90457,-99.21558
,ESTACIONES DE SERVICIO CAMINOS DE GUANAJUATO S.A. DE C.V.,PL/893/EXP/ES/2015,21.16531,-100.9016
,PETROMAX S.A. DE C.V.,PL/519/EXP/ES/2015,25.47064,-100.995
,PETROMAX S.A. DE C.V.,PL/523/EXP/ES/2015,25.77217,-100.3883
,PETROMAX S.A. DE C.V.,PL/563/EXP/ES/2015,25.71573,-100.2403
,PETROMAX S.A. DE C.V.,PL/464/EXP/ES/2015,25.28464,-100.0302
,PETROLÍFEROS LA TERRITORIAL S. DE R. L. DE C. V.,PL/834/EXP/ES/2015,31.28525,-110.9418
